family,r,i,parameter
lower,1.0,1,0.08
upper,1.0,1,0.1584
lower,2.0,1,0.08199999999999999
upper,2.0,1,0.15651428571428574
lower,2.0,2,0.08199999999999999
upper,2.0,2,0.12805714285714287
lower,3.0,1,0.084
upper,3.0,1,0.15462857142857145
lower,3.0,2,0.0966
upper,3.0,2,0.14057142857142857
lower,3.0,3,0.084
upper,3.0,3,0.12651428571428572
lower,4.0,1,0.086
upper,4.0,1,0.15274285714285715
lower,4.0,2,0.09717172770881925
upper,4.0,2,0.14579999999999999
lower,4.0,3,0.09717172770881925
upper,4.0,3,0.1319142857142857
lower,4.0,4,0.086
upper,4.0,4,0.12497142857142857
lower,5.0,1,0.08800000000000001
upper,5.0,1,0.15085714285714286
lower,5.0,2,0.09733380951166244
upper,5.0,2,0.14684032157055835
lower,5.0,3,0.1012
upper,5.0,3,0.13714285714285712
lower,5.0,4,0.09733380951166244
upper,5.0,4,0.1274453927151559
lower,5.0,5,0.08800000000000001
upper,5.0,5,0.12342857142857142
lower,6.0,1,0.09
upper,6.0,1,0.1489714285714286
lower,6.0,2,0.09793510090594838
upper,6.0,2,0.14638497300953499
lower,6.0,3,0.10283926296998457
upper,6.0,3,0.13961354443810642
lower,6.0,4,0.10283926296998457
upper,6.0,4,0.13124359841903643
lower,6.0,5,0.09793510090594838
upper,6.0,5,0.12447216984760785
lower,6.0,6,0.09
upper,6.0,6,0.12188571428571429
lower,7.0,1,0.092
upper,7.0,1,0.1470857142857143
lower,7.0,2,0.09889999999999999
upper,7.0,2,0.14529428254203192
lower,7.0,3,0.10395115057222525
upper,7.0,3,0.1404
lower,7.0,4,0.10579999999999999
upper,7.0,4,0.1337142857142857
lower,7.0,5,0.10395115057222525
upper,7.0,5,0.12702857142857144
lower,7.0,6,0.09889999999999999
upper,7.0,6,0.1221342888865395
lower,7.0,7,0.092
upper,7.0,7,0.12034285714285714
lower,8.0,1,0.094
upper,8.0,1,0.14520000000000002
lower,8.0,2,0.10011776072155758
upper,8.0,2,0.14389278905631192
lower,8.0,3,0.10502382390279921
upper,8.0,3,0.1402300653845353
lower,8.0,4,0.10774648356176372
upper,8.0,4,0.13493727632822336
lower,8.0,5,0.10774648356176372
upper,8.0,5,0.12906272367177665
lower,8.0,6,0.10502382390279921
upper,8.0,6,0.12376993461546473
lower,8.0,7,0.10011776072155758
upper,8.0,7,0.12010721094368808
lower,8.0,8,0.094
upper,8.0,8,0.1188
lower,9.0,1,0.096
upper,9.0,1,0.14331428571428573
lower,9.0,2,0.1015106414260573
upper,9.0,2,0.14232254476643277
lower,9.0,3,0.10618233764908629
upper,9.0,3,0.13949830549203046
lower,9.0,4,0.10930386526816253
upper,9.0,4,0.13527153271881373
lower,9.0,5,0.1104
upper,9.0,5,0.13028571428571428
lower,9.0,6,0.10930386526816253
upper,9.0,6,0.12529989585261483
lower,9.0,7,0.10618233764908629
upper,9.0,7,0.12107312307939812
lower,9.0,8,0.1015106414260573
upper,9.0,8,0.1182488838049958
lower,9.0,9,0.096
upper,9.0,9,0.11725714285714285
lower,10.0,1,0.098
upper,10.0,1,0.14142857142857143
lower,10.0,2,0.10302769610688733
upper,10.0,2,0.14065319083867595
lower,10.0,3,0.10744897786239212
upper,10.0,3,0.13842057141152972
lower,10.0,4,0.11073057343563125
upper,10.0,4,0.13499999999999998
lower,10.0,5,0.11247667396927946
upper,10.0,5,0.13080404799857479
lower,10.0,6,0.11247667396927946
upper,10.0,6,0.1263388091442823
lower,10.0,7,0.11073057343563125
upper,10.0,7,0.12214285714285714
lower,10.0,8,0.10744897786239214
upper,10.0,8,0.11872228573132741
lower,10.0,9,0.10302769610688733
upper,10.0,9,0.11648966630418117
lower,10.0,10,0.098
upper,10.0,10,0.1157142857142857
lower,11.0,1,0.1
upper,11.0,1,0.13954285714285716
lower,11.0,2,0.10463525491562423
upper,11.0,2,0.13892197409242996
lower,11.0,3,0.1088167787843871
