mode,expected_sign_changes,reference_right_sign_changes,reference_left_sign_changes,numpy_dense_right_sign_changes,scipy_dense_left_sign_changes,numpy_dense_right_overlap_abs,scipy_dense_left_overlap_abs,numpy_matched_eigenvalue_real,numpy_matched_eigenvalue_imag,scipy_matched_eigenvalue_real,scipy_matched_eigenvalue_imag
1,0,0,0,0,0,1.0000000000000004,1.0000000000000002,0.8500000000000004,0.0,0.8500000000000004,0.0
2,1,1,1,1,1,1.0000000000000004,0.9999999999999999,0.01588102310217527,0.0,0.01588102310217527,0.0
3,2,2,2,2,2,0.9999999999999998,1.0,0.00029695687029382997,0.0,0.00029695687029382997,0.0
4,3,3,3,3,3,1.0000000000000002,1.0000000000000002,5.558025951532503e-06,0.0,5.558025951532503e-06,0.0
5,4,4,4,4,4,1.0000000000000007,1.0000000000000004,1.0413847200965928e-07,0.0,1.0413847200965928e-07,0.0
6,5,5,5,5,5,1.0000000000000002,1.0000000000000002,1.9534768500766035e-09,0.0,1.9534768500766035e-09,0.0
7,6,6,6,6,6,1.0000000000000002,1.0000000000000004,3.668967439423448e-11,0.0,3.668967439423448e-11,0.0
8,7,7,7,7,7,1.0,1.0,6.899789437088697e-13,0.0,6.899789437088697e-13,0.0
9,8,8,8,8,8,1.0000000000000002,1.0,1.2992235455566627e-14,0.0,1.2992235455566627e-14,0.0
10,9,9,9,9,9,1.0000000000000004,1.0,2.4494273661820935e-16,0.0,2.4494273661820935e-16,0.0
11,10,10,10,10,10,1.0,1.0000000000000002,4.623013218829024e-18,0.0,4.623013218829024e-18,0.0
12,11,11,11,11,11,1.0000000000000002,0.9999999999999999,8.733237571515278e-20,0.0,8.733237571515278e-20,0.0
13,12,12,12,12,12,1.0,1.0000000000000002,1.6507279170628796e-21,0.0,1.6507279170628796e-21,0.0
14,13,13,13,13,13,1.0000000000000002,0.9999999999999991,3.1204647383452906e-23,0.0,3.1204647383452906e-23,0.0
15,14,14,14,14,14,0.9999999999999054,0.9999999999997651,5.895235882698772e-25,0.0,5.895235882698772e-25,0.0
16,15,15,15,15,15,0.9999999999847621,0.9999999999779552,1.11183249335855e-26,0.0,1.11183249335855e-26,0.0
17,16,16,16,16,16,0.9999999988415755,0.9999999986844651,2.0886382647738936e-28,0.0,2.0886382647738936e-28,0.0
18,17,17,17,17,17,0.9999999400542479,0.9999999445428424,3.8804574485846075e-30,0.0,3.8804574485846075e-30,0.0
19,18,18,18,18,18,0.9999972609574873,0.9999980674471074,6.934413113365672e-32,0.0,6.934413113365672e-32,0.0
20,19,19,19,19,19,0.999839448270586,0.9999145061037005,1.0820319211201947e-33,0.0,1.0820319211201947e-33,0.0
21,20,20,20,20,20,0.9671994878473442,0.9876068831016501,8.865965092020041e-36,0.0,8.865965092020041e-36,0.0
22,21,21,21,21,21,0.9587726833810117,0.917701057980929,-1.1787856764823066e-36,0.0,-1.1787856764823066e-36,0.0
23,22,22,22,21,21,0.9364215797352315,0.9528230164289452,1.116914743362436e-38,0.0,1.116914743362436e-38,0.0
24,23,23,23,22,22,0.9848724342054617,0.9879970108537929,-3.438651960003506e-41,0.0,-3.438651960003506e-41,0.0
