mode,independent_reference,numpy_eigenvalue_real,numpy_eigenvalue_imag,scipy_eigenvalue_real,scipy_eigenvalue_imag,numpy_right_backward_error,scipy_right_backward_error,scipy_left_backward_error,numpy_scipy_right_vector_overlap_abs,scipy_left_right_inner_product_abs,scipy_simple_eigenvalue_condition_estimate
1,8.49999999999999756e-01,8.50000000000000422e-01,0.00000000000000000e+00,8.50000000000000422e-01,0.00000000000000000e+00,3.41554692169721532e-16,3.41554692169721532e-16,2.71459612639117591e-16,1.00000000000000022e+00,9.99999967264846745e-01,1.00000003273515436e+00
2,1.58810231021751999e-02,1.58810231021752693e-02,0.00000000000000000e+00,1.58810231021752693e-02,0.00000000000000000e+00,1.01757157000284798e-17,1.01757157000284798e-17,1.96438720544822182e-17,1.00000000000000022e+00,9.99999676909161250e-01,1.00000032309094311e+00
3,2.96956870293799992e-04,2.96956870293829970e-04,0.00000000000000000e+00,2.96956870293829970e-04,0.00000000000000000e+00,9.78995527519523604e-18,9.78995527519523604e-18,1.84673705155890254e-16,9.99999999999999778e-01,9.99998369073368143e-01,1.00000163092929184e+00
4,5.55802595153249890e-06,5.55802595153250313e-06,0.00000000000000000e+00,5.55802595153250313e-06,0.00000000000000000e+00,1.23184515403519233e-18,1.23184515403519233e-18,5.38364640784974416e-18,1.00000000000000000e+00,9.99993515317817550e-01,1.00000648472423381e+00
5,1.04138472009659174e-07,1.04138472009659280e-07,0.00000000000000000e+00,1.04138472009659280e-07,0.00000000000000000e+00,3.13679385240526505e-19,3.13679385240526505e-19,1.13776819855051807e-19,1.00000000000000044e+00,9.99977855895730516e-01,1.00002214459464178e+00
6,1.95347685007666019e-09,1.95347685007660353e-09,0.00000000000000000e+00,1.95347685007660353e-09,0.00000000000000000e+00,1.72088511667061688e-20,1.72088511667061688e-20,8.99483963737475601e-20,1.00000000000000000e+00,9.99933205153300197e-01,1.00006679930854947e+00
7,3.66896743942381612e-11,3.66896743942344776e-11,0.00000000000000000e+00,3.66896743942344776e-11,0.00000000000000000e+00,2.54453554980122312e-20,2.54453554980122312e-20,3.71264595908286603e-20,1.00000000000000022e+00,9.99819026006323330e-01,1.00018100675119137e+00
8,6.89978943706823081e-13,6.89978943708869727e-13,0.00000000000000000e+00,6.89978943708869727e-13,0.00000000000000000e+00,3.34448355504249763e-21,3.34448355504249763e-21,1.47921395454730134e-21,1.00000000000000000e+00,9.99553141692522851e-01,1.00044705807909362e+00
9,1.29922354551269363e-14,1.29922354555666269e-14,0.00000000000000000e+00,1.29922354555666269e-14,0.00000000000000000e+00,4.13698559555667637e-22,4.13698559555667637e-22,1.05424856568399093e-21,1.00000000000000022e+00,9.98981126769194150e-01,1.00101991239224009e+00
10,2.44942736568087642e-16,2.44942736618209350e-16,0.00000000000000000e+00,2.44942736618209350e-16,0.00000000000000000e+00,5.46799104511513714e-22,5.46799104511513714e-22,2.62955044475064715e-22,1.00000000000000067e+00,9.97829914537181395e-01,1.00217480497548039e+00
11,4.62301321439368843e-18,4.62301321882902420e-18,0.00000000000000000e+00,4.62301321882902420e-18,0.00000000000000000e+00,5.64521186659177766e-23,5.64521186659177766e-23,1.69778675738861611e-23,9.99999999999999889e-01,9.95640024966018111e-01,1.00437906765965002e+00
