component,mode_1,mode_2,mode_3,mode_4,mode_5,mode_6,mode_7,mode_8,mode_9,mode_10,mode_11,mode_12,mode_13,mode_14,mode_15,mode_16,mode_17,mode_18,mode_19,mode_20,mode_21,mode_22,mode_23,mode_24
1,0.993929919220106080270547211578264759023137931742985481878497,-0.109375389561351490874991274592312978604317777221943431400898,0.0120545240312462747678969020289904372241653334786679074087681,-0.0013335376249671659178349926678879108802967710293016117477753,0.000148394300066167979209204632946375064659268526138522101802299,-0.0000166444538116825809479045398517421861601987468188548439260749,0.00000188528299903305164916449111567092693107193440712333767959553,-0.000000216004801262597826965115448948082760022283714901484609589303,-0.0000000250695959964118627573763291325739136133957817899941652611443,0.00000000295065875149796338277552720239030625079684303002079450956358,-0.000000000352470521193853089823059258776479742366912943261572983809281,0.0000000000427498701185307850114397852420463924915694214483817545687682,0.00000000000526423908903683617281029703938445522021092513981626101142759,-0.000000000000657772910056172552603252083786866536885272509582966751728455,0.0000000000000832972037415856124936376376771045501379531098128285767051343,-0.0000000000000106690029555699550386061477751827511126114806114009301688755,-0.00000000000000137762990682872231671176035978761803230386538763992862257581,0.000000000000000178135448381180825280869518808564196408496441542617906661027,-0.0000000000000000226455644290728549604397705736479099408470406994375672170092,0.00000000000000000270904496355299178000586714881012603362298231246739969685554,-0.000000000000000000286334644454860891726818768389880033750731970834232668737748,2.52489473064288763907059191303174128631173203022066158064093e-20,-1.74403190781497301150624936705942994993947364195211963530987e-21,-8.17344874467437538890554547341219594640295160374888471080309e-23
2,0.109362166041924898366464954863254259195771542270677228435418,0.969641159487276424372760261988138968375902169362891297845837,-0.215858445935142841622815255995531719007818894565780995488877,0.0360013735195963438863097634729381733595869931957357141743082,-0.00535998000590507612343798488004597200452730523678847253405993,0.000753374930194362983175150598030577887699204169059075979928049,-0.00010258925569844094907671487293002536460638706883638571888466,0.0000137318495621113808514103158535211625675606029335578011351843,0.00000182324248622451941776258168846635309705071940484184611854238,-0.000000241601486621989135725839906188443708553592101511968654653205,0.0000000320865439852738152134297623277112258770937316920607272044093,-0.00000000428307562896911636069399517404806110924369717313227778158452,-0.000000000575665842694510296446409997869042848638074811275881601810492,0.0000000000779692141796480778816835891851760358203722783157043717757589,-0.0000000000106404958693753799192559769232465690613396462836595406858562,0.00000000000146146965499326931176285271776906796592404784650523403045691,0.00000000000020150889982711675105451465198475509571972296585039342646622,-0.0000000000000277234676825956197851595838917663609233072212690704132803742,0.00000000000000373915647705819988532823161093242759512508261063026950479939,-0.000000000000000473692626478253499913332289370885527376326020726875419320093,0.0000000000000000529818451547591634370320504777038704746834216327818952361313,-0.00000000000000000494397620199909183350990637073942688951992816690331681133641,0.000000000000000000361493335788648139078812490467615870452333302138539253911666,1.7941236844390317955168352237626237060529573391586923697286e-20
3,0.0118985427701061585374114521636209346749588626033217173048297,0.215751331167245192913516169034103868699749863884422278498373,0.921347919295269582868322606261390922016789527987844970402317,-0.315603159134687151952580377279656799114130448281305963453499,0.0711678753864268271514585654740094263841264698711375291250199,-0.0134083676061695875080675688865448595271266812961643394165753,0.0022900118824512640374983541342722443244108577377781557161618,-0.000368663624661697809607663572531852032950288291745834093120909,-0.0000571972766299776831710321151011358909270589413826090859342448,0.00000867178794023640494161734828051017663861439621523950123744941,-0.00000129671996207836377630549902221492450219548665391754332271776,0.000000192454660515953189250950064544773881681712104670411991054235,0.0000000284709474695710346775431748165325584174715595779982795599022,-0.00000000420939496440673924472271578398861375965104933114613621997498,0.000000000622784853413923528198040403369198861566264432031321226638952,-0.0000000000922010984148058009340258030998804447855832543937746209629509,-0.0000000000136359289770389024202401246720965327785431913441636371877113,0.00000000000200397270321683449534957026666918227625070762640017238085727,-0.000000000000287772267890280321319574307528591440540495170650829320929242,0.0000000000000387317676302391744466942339919017606491737847871247679393834,-0.00000000000000459813223252067306550378983238936998839347624096698545774166,0.000000000000000455348852232413586156118602345181303406466540039105873019474,-0.0000000000000000353379114203049041704310144487540324818406949650740189645556,-0.00000000000000000186199915347285210898374260479723298290297789196569953821809
4,0.00127994625282265411990693851784795656091214371263687527615697,0.0354643477671711185384016659322092167729866612041718574396876,0.315163581098098451610627768836720012090019154065779789854449,0.850057322407187923293068206181718476974563302754313949144136,-0.404811783122467444951965321277864095765654758510565656431551,0.116352649878733202132042985870896735401126282518410703930882,-0.0267145534178686673198405112471108863401609563882324763784348,0.00540164352000097138689721450259121216377600385538081845735533,0.00100871365752024074140703911649117869249194599776869965020954,-0.000178783347100416920424000599377934245706485136975698766410608,0.0000305965947501935729268593867067243271373812833523286312672354,-0.00000511411308502045472215975887911402883461634699495595465403332,-0.000000841365391123624709249303317694422712341327908444020362193653,0.000000136947718208666463767231053832235316581949507049486520706912,-0.0000000221228479703339595833979882113034319244734549891933465353832,0.00000000355169438245463653091195816533423423102510118053532465361234,0.000000000566359964803255024349497650801431769024367902352474458097311,-0.0000000000893163566552633547118974186734181282729984703291243753477145,0.0000000000137111743210410363854365056031348577947560229408827607979827,-0.00000000000196780445337108228400470374900966800713141799392549484735693,0.000000000000248804267520248678518792848668507327603919111232399676173121,-0.0000000000000262312190529301066570386148813498010549611522172826030219456,0.00000000000000216712688557684412512050404441890542518323741981626265045085,0.00000000000000012156788826751564410876718252052676823979092790856740184364
5,0.000136118587987382491760978757133910368790972700168175530807809,0.00511978451319404748854290141331987153835438872095352145369413,0.0698825569922345556045811014647261388323500887292704603435289,0.40362407878080931798389828517947538420965479446958024849263,0.757641372460339564772235619487097255617126332636712746026187,-0.479868313598737923411984728404062054969284698207287314890544,0.169820168310285699497473962789584665593089488316525814937198,-0.0463511787122695956510296611001985171413444933677091024726111,-0.0108935921048984054106290495062352518461714477763236796161822,0.00232662279359210438106768835743001335759615232368905289096915,-0.000465814159478249735051515769466369098814907769761501393155396,0.0000891540624537472940876652747125375519687052035917982012468846,0.0000165252537068448568056953717369041243249025662823522499212938,-0.00000299238584393795758292820374056226268415894644416467348479713,0.00000053236620875849221086074508404619867361858485572852660109868,-0.0000000933539494426348161947396017721342644978141350809506657953117,-0.0000000161496183903751218219498044915610543017815658672211139954249,0.00000000274747273929989708362171277324696389847173896466339545478869,-0.000000000452988187453263001925933204744949744611986018785672280233415,0.0000000000696153758278830989486675632567329852423955287620039654345832,-0.0000000000094107014902711003452207019097816161989213776486349728353424,0.00000000000106009475675462858624997996009975595875131354590696040204434,-0.0000000000000935487249610720200920667914449844227880322484610602864040534,-0.00000000000000560432540347049468588982762943793861140130970352674223477455
6,0.0000143096211690406164884495099476353174002308353990558053295948,0.000685016140861858150044205833697694460196492759911484874725896,0.0127217116810030294593959909767064448471304566775042901910345,0.113720489508780400709521219341084984262721923911115230965246,0.477352744927841286033371973579294893564927344495216210173306,0.646854455079470716528240870764926193989238411070132883328479,-0.537487149774958402937281847291339021315911083243955313790596,0.229311879519229754463059480526053299460766234219230958432596,0.0731503242407455801435043870876988893678567263007090469922223,-0.0197164013343048563614200820823898796018966676803523920910555,0.00476427214692043007159303111718677776928041208756219955620097,-0.00106785531372650488942087869022459694946701472830769157982795,-0.000226816855046319090616628657130178692993433201931811584518645,0.0000463019735018216069000328383358440688823878866745358394205973,-0.00000916903403038830714870844381405976334038416689591764827175093,0.00000177163336028293273668994214258643487415327985048030931985157,0.000000334933910154343497773265882343323873491885700540708311157637,-0.0000000618551515372906990826108287556040300408297579152039300554539,0.0000000110127964760469507521775868922968211327725790670627437300891,-0.00000000182108825387745360156882402452217883064104174869324611363241,0.000000000264370581383259317450184529070050763770418039214062254885983,-0.000000000031950596245695737784214569788613838344495842937361153821373,0.00000000000302308680017123181772393940881516417549350546123797459700955,0.000000000000194095052152071000145438704884727418259228742481240270595802
7,0.00000148690165661448622463264965960413789294145975127786560355493,0.0000869971207946769544794236360279780515951390442849900000856158,0.00205874092076425723567448341681706439359906691374687142121728,0.0251189850162745292639606922843233814146583512036948348838958,0.164920719554440925233407696878157256148914859477146678853798,0.532953256130491074143775733752273884344416587928020500123725,0.521314393489887362340470675261143691383415703506229571461719,-0.57487293153779623825909808737524289641736289227663664552478,-0.292077624834377707590453762223037799879308888634039062349898,0.107618903830130521640953720297613165306518900856775985640565,-0.0329346347947743064862015304180733457978788576444385540215469,0.00892789676596126022402787263692422487830029040923755666122994,0.00222378713310878557903046897812267220190955009165511773157459,-0.000520727703108680546336803248831761728674875126281643799175741,0.000116344114336110183330389894648331946227336031674156407217414,-0.0000250402939661687129929433816322228784617666382816572930588316,-0.00000521980801771052123142438625881022512599444897214753705765264,0.00000105430352008512127199212018779473831646905949808606505910794,-0.000000204005418025859357269173578958799317477203118360369007404837,0.0000000365046430586587007117723238618782913088481736715229575557123,-0.00000000572035913691457794139133372015075333584609233090911838286947,0.000000000745209831107417354915121745356671166217035724313445310264915,-0.0000000000759299683794015699050850392715480820894961411969119992739292,-0.00000000000524552783784175950588065596295872017166448451112082980318657
8,0.000000152700263259268847401599404735435987280720190874951790079072,0.0000106212543642926143393165032643550205438967996727750606873349,0.000307394964846486961684935824780179918361639167572494360625522,0.00478652745980658154172488180353134816026597457117496890879709,0.0430748566488493600912279940571213927986421297726006427987869,0.220831257671093255884027221885205723985136173093745126553614,0.567617502756333005478626509239581696075285148531692946175535,0.385438597643119895763801669196776858381359345020886031626273,0.589885478869525436384250663647405805668322215491388096160032,-0.35493077594394815301391676906258582086311633743304239232759,0.149847027269773723430312904397060438260156598080890227552955,-0.0516756106034224220082615286732618009993103405121819548055578,-0.0156080459058121859782338992435620360686277393669662526775887,0.00429343866553588564247770773698903686661561408866491237628144,-0.00110177967133835769903909359675950386722962813492103997116635,0.000267829338238546460783557477182916601987628928478641866577136,0.0000622485427179490264651693561777212255660417389779960890487022,-0.0000138771624780368118391683140085847323623561428306644307204196,0.00000294087086944934920986344630607149565170913514603480469207835,-0.000000573279672211460958073673008811025801800239497397925940026014,0.000000097553890254311500882555486821759048650450680423391945448392,-0.0000000137741470313070899798651327086759050718061208068865295408214,0.00000000151891257533766102046472265212946008073678675362115774127523,0.000000000113423843579017977051934059668901742845343963009756954135324
9,0.0000000154975479940830813747216791795494747996368041211242637127695,0.00000125601922695153639008821680881047052630588970532420373185089,0.0000432278594553950289105215117798062355133980522182597717429653,0.000823840035565973838103655205837817647892299614066434159074247,0.00948030837579962138129153761152783715432041376807279921599412,0.0669781616085381057872948958675505326206962183060963173985675,0.278281438867651593437540406589371539928000635538646179777436,0.579333533903587188512200122113365053053847333700720720105141,-0.244329177811126283777857711604342351889650390265398651648631,0.581202365916341454759794319299623029123887673706132211557858,-0.414330413235992550856497317115235732438979112190312268418592,0.19940988273407067973765331784034081704731967500447357128907,0.0770501976369068495279289458176868395138083589804617967041154,-0.0257846793126617139744733142749507157285526133144171413199274,0.00778992647727185153025172166803187559567425131834977152704941,-0.00217849061698575637637489818162903459438952479550562214514024,-0.000572634776121903649771078293465490173293509628796509327134494,0.000142518113498464233113891931290349426325076590027581841379505,-0.0000333919352119692627728123942863614084173254074677858254973256,0.0000071486237182182257173685956904287014280908000216469413313083,-0.00000133046798723435124137465245734603998692940030006585726499854,0.000000204918238289172912966465575197503126191333331968928598761467,-0.000000024598471884167537445943053944441891014309221546423826482016,-0.00000000199602069711699134725632157131137393324611497480636953322558
10,0.00000000155423637735195688251797766239637957385106625850152905305661,0.000000144571416857770753221936480454653593841055241305975276109983,0.00000579810182722535576121666119341455572870010925442862844532431,0.000131446028065666146362666679764685765134435797987620498888013,0.00185303077664105531829344825028876266405846019446580722197479,0.0167816668209096883892272267642734675607386373449278183809095,0.0967450897082544175825380539443154359863604490160798277314163,0.333709352569062232523849041754291218575498134774137442143274,-0.567081641403359849910999242922580620177285568712482139577793,-0.103604208704108408161323769349573518911133519301166352076285,0.54847124288238509589800128102257300212434747554574975583606,-0.466494544015755062460130235961799838617454886885404626398598,-0.25526485325024320627184855520828168364052049936569632243926,0.110035235769763881896531651215259119953785108697361257652146,-0.0406033491143591459929546386132764391734943973679372857586097,0.013403535848981938065788815979603131509582855991548172674425,0.00406135593676130992113388743623112561089802572970582861440274,-0.00114521620076549083203412440192829210547558981341287816979502,0.000300194121139981453871973582532388621099890916185471865436633,-0.0000712827282944223018117312838220341706961734409439944517094571,0.0000146358914346198155813543847705069823660511079138658030612424,-0.00000247787412133860471307862947075071954889742278571571918847682,0.000000326018688394864351295690232299558820828888858754454005680258,0.0000000289238244601840007210601216350304271970753962051249538293586
