mode,eigenvalue_120dps,independent_reference_decimal,eigenvalue_relative_difference,right_backward_error_120dps,left_backward_error_120dps,expected_sign_changes,right_sign_changes,left_sign_changes,right_matches_expected,left_matches_expected,right_sign_pattern,left_sign_pattern,right_change_locations,left_change_locations,right_min_component_over_max,left_min_component_over_max
1,0.849999999999999808443461542413072317110895262405940296974527,0.8499999999999998084434615424130723,2.013046501459522841541e-35,5.900358599175886389032e-121,1.430289986455656233532e-120,0,0,0,True,True,++++++++++++++++++++++++,++++++++++++++++++++++++,,,4.765196670285792756094e-24,9.42685920908261978961e-22
2,0.0158810231021752665303100561471919814474718628211172625012276,0.01588102310217526653031005614719198,9.1144748893593205643e-35,7.30087420071455032606e-122,4.748182402512711469325e-122,1,1,1,True,True,-+++++++++++++++++++++++,-+++++++++++++++++++++++,1,1,1.767661587990883983289e-21,1.956193004864424410318e-19
3,0.000296956870293829281484860320340691965067847694384647485061611,0.000296956870293829281484860320340692,1.176337569528231834849e-34,6.847054315914149498497e-123,5.59223429592051594889e-122,2,2,2,True,True,+-++++++++++++++++++++++,+-++++++++++++++++++++++,1;2,1;2,2.953480601832855099663e-19,2.042444042333240652282e-17
4,0.00000555802595153249851495157898177861344297844011874135759053621,0.000005558025951532498514951578981778613,7.970067861892587708526e-35,1.230863661000567854537e-123,4.565101588094129625015e-122,3,3,3,True,True,-+-+++++++++++++++++++++,-+-+++++++++++++++++++++,1;2;3,1;2;3,2.990781901059645756784e-17,1.421800513712244452389e-15
5,0.000000104138472009659154272005946936384651986072547770562328518132,0.0000001041384720096591542720059469363847,4.610584976489380650243e-34,1.858300217773465834091e-123,3.013453326715085981597e-122,4,4,4,True,True,+-+-++++++++++++++++++++,+-+-++++++++++++++++++++,1;2;3;4,1;2;3;4,2.085468248663228209546e-15,7.387708981794171145117e-14
6,0.00000000195347685007666003104463257378226873637210199173281541448402,0.000000001953476850076660031044632573782269,1.349531723388079414427e-34,7.00205854660072576861e-123,2.044543663533609884937e-122,5,5,5,True,True,-+-+-+++++++++++++++++++,-+-+-+++++++++++++++++++,1;2;3;4;5,1;2;3;4;5,1.081366720277239934844e-13,3.050568148499009320619e-12
7,0.0000000000366896743942381531229493730918892136333646722425462383496141,0.00000000003668967439423815312294937309188921,9.902962433520913911574e-35,2.581696345433859555161e-123,4.575536907514926760381e-123,6,6,6,True,True,+-+-+-++++++++++++++++++,+-+-+-++++++++++++++++++,1;2;3;4;5;6,1;2;3;4;5;6,4.060870026463723917943e-12,9.534048247230468275694e-11
8,0.000000000000689978943706823038173298956588070387212862743613082572535902,0.0000000000006899789437068230381732989565880704,1.853264852937347464607e-35,3.221454989525091635251e-123,8.553447568437834941057e-123,7,7,7,True,True,-+-+-+-+++++++++++++++++,-+-+-+-+++++++++++++++++,1;2;3;4;5;6;7,1;2;3;4;5;6;7,1.006359170678663775074e-10,2.059306099801837471438e-9
9,0.0000000000000129922354551269369041584055764572302212545781767341214028454,0.00000000000001299223545512693690415840557645723,1.702975434373178985062e-35,1.141466266111031815942e-123,1.23710633487830345839e-123,8,8,8,True,True,-+-+-+-+----------------,+-+-+-+-++++++++++++++++,1;2;3;4;5;6;7;8,1;2;3;4;5;6;7;8,1.962457942034378466248e-9,3.746846993263224860828e-8
10,0.000000000000000244942736568087666857176041666265864422181447350408004725162,0.0000000000000002449427365680876668571760416662659,1.452495348550982243758e-34,1.512253083141231878064e-124,1.684569259955755273636e-123,9,9,9,True,True,+-+-+-+-+---------------,+-+-+-+-+---------------,1;2;3;4;5;6;7;8;9,1;2;3;4;5;6;7;8;9,5.076818204010343977457e-9,7.9163367114489692957e-9
