step,phase,direction,source_compartment,target_compartment,active_link,parameter,factor_r,factor_i,chronological_factor
1,upstream feedback sweep,upper,7.0,6.0,6.0,0.1848,1.0,1.0,U_7
2,upstream feedback sweep,upper,6.0,5.0,5.0,0.14616,2.0,2.0,U_6
3,upstream feedback sweep,upper,7.0,6.0,6.0,0.17864000000000002,2.0,1.0,U_7
4,upstream feedback sweep,upper,5.0,4.0,4.0,0.14112,3.0,3.0,U_5
5,upstream feedback sweep,upper,6.0,5.0,5.0,0.1568,3.0,2.0,U_6
6,upstream feedback sweep,upper,7.0,6.0,6.0,0.17248000000000002,3.0,1.0,U_7
7,upstream feedback sweep,upper,4.0,3.0,3.0,0.13608,4.0,4.0,U_4
8,upstream feedback sweep,upper,5.0,4.0,4.0,0.14364000000000002,4.0,3.0,U_5
9,upstream feedback sweep,upper,6.0,5.0,5.0,0.15876,4.0,2.0,U_6
10,upstream feedback sweep,upper,7.0,6.0,6.0,0.16632000000000002,4.0,1.0,U_7
11,upstream feedback sweep,upper,3.0,2.0,2.0,0.13104,5.0,5.0,U_3
12,upstream feedback sweep,upper,4.0,3.0,3.0,0.13530452526592385,5.0,4.0,U_4
13,upstream feedback sweep,upper,5.0,4.0,4.0,0.14559999999999998,5.0,3.0,U_5
14,upstream feedback sweep,upper,6.0,5.0,5.0,0.1558954747340761,5.0,2.0,U_6
15,upstream feedback sweep,upper,7.0,6.0,6.0,0.16016,5.0,1.0,U_7
16,upstream feedback sweep,upper,2.0,1.0,1.0,0.126,6.0,6.0,U_2
17,upstream feedback sweep,upper,3.0,2.0,2.0,0.12867376207875073,6.0,5.0,U_3
18,upstream feedback sweep,upper,4.0,3.0,3.0,0.13567376207875073,6.0,4.0,U_4
19,upstream feedback sweep,upper,5.0,4.0,4.0,0.14432623792124924,6.0,3.0,U_5
20,upstream feedback sweep,upper,6.0,5.0,5.0,0.15132623792124925,6.0,2.0,U_6
21,upstream feedback sweep,upper,7.0,6.0,6.0,0.154,6.0,1.0,U_7
22,diagonal decay dwell,decay,,,,,,,D
23,downstream pulse sweep,lower,6.0,7.0,6.0,0.135,6.0,6.0,L_7
24,downstream pulse sweep,lower,5.0,6.0,5.0,0.14690265135892258,6.0,5.0,L_6
25,downstream pulse sweep,lower,4.0,5.0,4.0,0.15425889445497687,6.0,4.0,L_5
26,downstream pulse sweep,lower,3.0,4.0,3.0,0.15425889445497687,6.0,3.0,L_4
27,downstream pulse sweep,lower,2.0,3.0,2.0,0.14690265135892258,6.0,2.0,L_3
28,downstream pulse sweep,lower,1.0,2.0,1.0,0.135,6.0,1.0,L_2
29,downstream pulse sweep,lower,6.0,7.0,6.0,0.128,5.0,5.0,L_7
30,downstream pulse sweep,lower,5.0,6.0,5.0,0.1415764501987817,5.0,4.0,L_6
31,downstream pulse sweep,lower,4.0,5.0,4.0,0.1472,5.0,3.0,L_5
32,downstream pulse sweep,lower,3.0,4.0,3.0,0.1415764501987817,5.0,2.0,L_4
33,downstream pulse sweep,lower,2.0,3.0,2.0,0.128,5.0,1.0,L_3
34,downstream pulse sweep,lower,6.0,7.0,6.0,0.121,4.0,4.0,L_7
35,downstream pulse sweep,lower,5.0,6.0,5.0,0.13671836107868754,4.0,3.0,L_6
36,downstream pulse sweep,lower,4.0,5.0,4.0,0.13671836107868754,4.0,2.0,L_5
37,downstream pulse sweep,lower,3.0,4.0,3.0,0.121,4.0,1.0,L_4
38,downstream pulse sweep,lower,6.0,7.0,6.0,0.11399999999999999,3.0,3.0,L_7
39,downstream pulse sweep,lower,5.0,6.0,5.0,0.13109999999999997,3.0,2.0,L_6
40,downstream pulse sweep,lower,4.0,5.0,4.0,0.11399999999999999,3.0,1.0,L_5
41,downstream pulse sweep,lower,6.0,7.0,6.0,0.10700000000000001,2.0,2.0,L_7
42,downstream pulse sweep,lower,5.0,6.0,5.0,0.10700000000000001,2.0,1.0,L_6
43,downstream pulse sweep,lower,6.0,7.0,6.0,0.1,1.0,1.0,L_7
