row,column,value,log10_absolute_value
1,1,0.838186692632826,-0.07665923846997379
1,2,0.0905241628043452,-1.0432354829830242
1,3,0.009916275434053129,-2.003651418791256
1,4,0.0011015565396456733,-2.9579932068872945
1,5,0.00012406673940809268,-3.9063446312941457
1,6,1.4164876876421097e-05,-4.848787196090477
1,7,1.6390786099858696e-06,-5.785400217226084
1,8,1.9219367472520024e-07,-6.7162609094726
1,9,2.2832608557353788e-08,-7.641444468827425
1,10,2.7477413498164042e-09,-8.561024150664252
1,11,3.349104170947652e-10,-9.475071343901117
1,12,4.1337514338553867e-11,-10.383655641436482
1,13,5.166008220480989e-12,-11.286844907085138
1,14,6.535738400082806e-13,-12.184705339228728
1,15,8.369479859763183e-14,-13.077301531379963
1,16,1.3257256097864884e-14,-13.877546354126487
2,1,0.09052416280434522,-1.043235482983024
2,2,0.14262024789939542,-0.8458188130063508
2,3,0.030010110387898664,-1.5227324070820756
2,4,0.0049147849180088705,-2.3084954831148092
2,5,0.0007298467206508078,-3.1367683390100374
2,6,0.00010327360082204637,-3.9860106802475834
2,7,1.4239873588604403e-05,-4.846493866037311
2,8,1.936446598309602e-06,-5.712994475119544
2,9,2.6158916348087165e-07,-6.582380250936222
2,10,3.52684856020322e-08,-7.452613188157887
2,11,4.761381247956426e-09,-8.32226704279461
2,12,6.452783673837757e-10,-9.190252894141803
2,13,8.79806696253379e-11,-10.055612736909252
2,14,1.2098971440564003e-11,-10.917251548416953
2,15,1.6854553296730574e-12,-11.773282753278624
2,16,2.882770322665775e-13,-12.540189957532824
3,1,0.009595561257260594,-2.017929617718254
3,2,0.029943739161107985,-1.523693969001598
3,3,0.027465118979142444,-1.5612185152709455
3,4,0.008007714221352685,-2.0964914343179735
3,5,0.00170963558013261,-2.767096452417183
3,6,0.00031532746098338657,-3.501238206117843
3,7,5.357399610832151e-05,-4.271045958199362
3,8,8.65651553169476e-06,-5.062656887415038
3,9,1.3548020307175776e-06,-5.8681241610613775
3,10,2.0776761230551164e-07,-6.68242215116411
3,11,3.147015818347298e-08,-7.5021010741177045
3,12,4.736187266092203e-09,-8.32457113419421
3,13,7.118513448212473e-10,-9.147610690161432
3,14,1.0744714914251094e-10,-9.968805103002703
3,15,1.64314740311412e-11,-10.784323475221294
3,16,3.056202902227561e-12,-11.514817816198246
4,1,0.0009979383707551018,-3.0008962784194733
4,2,0.00474211878657274,-2.3240275714656047
4,3,0.007944738142000732,-2.099920412535678
4,4,0.0057913914922831326,-2.2372170762008943
4,5,0.002022809073991159,-2.6940451068610027
4,6,0.0005203703359690189,-3.2836874686288193
4,7,0.00011360585429014448,-3.944599288163777
4,8,2.244967872289309e-05,-4.648789869799771
4,9,4.158402164828536e-06,-5.3810735117530175
4,10,7.375650607751056e-07,-6.132199664448963
4,11,1.270586538682539e-07,-6.8959957501394795
4,12,2.1480951355480352e-08,-7.667946488368849
4,13,3.5949873538763406e-09,-8.444302633000538
4,14,6.009000555400223e-10,-9.221197755845767
4,15,1.0163254516563904e-10,-9.992967198326152
4,16,2.065828388320568e-11,-10.684905758857534
5,1,0.00010178971381702038,-3.9922961066575557
5,2,0.0006595780413168185,-3.1807338113260015
5,3,0.0016347097351337612,-2.786559351028713
5,4,0.0019895580592187755,-2.70124338276518
5,5,0.0012990382086596217,-2.8863780748192007
5,6,0.0005058003705799228,-3.2960208568011105
5,7,0.00014919193110132317,-3.826254664617582
5,8,3.728453678025962e-05,-4.428471248175498
5,9,8.37255422035434e-06,-5.077142031303838
5,10,1.7490101057909691e-06,-5.757207681157931
5,11,3.4761786246980117e-07,-6.458897915270692
5,12,6.679421893260717e-08,-7.175261124265704
5,13,1.2568266380753343e-08,-7.900724623125207
5,14,2.345042947721118e-09,-8.629849199094956
5,15,4.4127125096228046e-10,-9.355294366128952
5,16,9.833920825711647e-11,-10.007273292598121
6,1,1.0178971381702038e-05,-4.992296106657556
6,2,8.465590095668336e-05,-4.072342763915295
6,3,0.000281809254955251,-3.550044748238747
6,4,0.000490092235310119,-3.309722178100882
6,5,0.0004918709715141436,-3.308148807209373
6,6,0.00030394065890807783,-3.5172111993662822
6,7,0.00012715814136252468,-3.895655828680343
6,8,4.1637940146556195e-05,-4.380510763434114
6,9,1.1630648300768872e-05,-4.934396076707546
6,10,2.9171971053193778e-06,-5.535034226051191
6,11,6.789591642492683e-07,-6.168156345416879
6,12,1.5002868825440267e-07,-6.82382568788234
6,13,3.203834682082558e-08,-7.494329901611404
6,14,6.721500127798734e-09,-8.17253378877385
6,15,1.4139335694968697e-09,-8.849570994413705
6,16,3.4623465265654543e-10,-9.460629468221489
7,1,9.975391954067998e-07,-6.001070030965061
7,2,1.0252758421476027e-05,-4.989159275480454
7,3,4.3385183186551186e-05,-4.362658564473778
7,4,9.948086765464677e-05,-4.002260435545427
7,5,0.00013756754796606077,-3.8614840036112956
7,6,0.00012194342883377582,-3.913841597548868
7,7,7.330717105283231e-05,-4.134853539733447
7,8,3.23252449580567e-05,-4.490458175387112
7,9,1.1503974652181216e-05,-4.939152083883129
7,10,3.5308395385468015e-06,-5.452122018802566
7,11,9.767146662470058e-07,-6.010232290910972
7,12,2.51095431583702e-07,-6.600161188744815
7,13,6.140665320196922e-08,-7.211784571979914
7,14,1.4582872392788515e-08,-7.836156924476677
7,15,3.4434966419076517e-09,-8.46300033620173
7,16,9.282298557557039e-10,-9.032344466964792
8,1,9.576376275905275e-08,-7.018798797925492
8,2,1.1858364484997073e-06,-5.925975205079752
8,3,6.157906919511029e-06,-5.2105668800070735
8,4,1.7735022649483917e-05,-4.751168252552083
8,5,3.167863634880663e-05,-4.49923352149337
8,6,3.7356915833711046e-05,-4.42762898607392
8,7,3.0485499786848602e-05,-4.515906680652189
8,8,1.8099373598407145e-05,-4.742336455377376
8,9,8.326059788760678e-06,-5.079560474804561
8,10,3.1758973990777144e-06,-5.498133536387933
8,11,1.058250439600734e-06,-5.97541154244655
8,12,3.1998367731534675e-07,-6.494872174907208
8,13,9.03821826908393e-08,-7.043917174853223
8,14,2.4448628038975635e-08,-7.611745506757945
8,15,6.504886217401986e-09,-8.186760295656835
8,16,1.9338812623919997e-09,-8.713570194508959
9,1,9.001793699350963e-09,-8.045670944325794
9,2,1.3193029263253317e-07,-6.879655474259061
9,3,8.207311367120926e-07,-6.085799090098459
9,4,2.875092356549637e-06,-5.541348199914997
9,5,6.3626245893097185e-06,-5.196363700463444
9,6,9.488104842705718e-06,-5.022820525038308
9,7,9.975559771647783e-06,-5.00106272482249
9,8,7.697493130462908e-06,-5.113650690005587
9,9,4.554692167615737e-06,-5.341540969826768
9,10,2.1739288241906917e-06,-5.662754679093905
9,11,8.808779733348991e-07,-6.0550842495650485
9,12,3.1610052739435105e-07,-6.500174779566097
9,13,1.039004350822828e-07,-6.983382633834171
