mode,high_precision_reference,high_precision_reference_decimal,structured_cauchon_dlasq1,dense_eig_real_part,dense_eig_imaginary_part,dense_eig_absolute_value,dense_eig_sign,relative_error_structured,relative_error_dense,koev_tntool,relative_error_tntool
1,0.8499999999999998,0.8499999999999998084434615424130723,0.8499999999999999,0.8500000000000004,0.0,0.8500000000000004,1,6.862326529713901e-17,7.216956327237019e-16,0.8499999999999999,6.889004524421994e-17
2,0.015881023102175266,0.01588102310217526653031005614719198,0.01588102310217527,0.01588102310217527,0.0,0.01588102310217527,1,1.744952140773467e-16,1.744952140773467e-16,0.01588102310217527,1.7440248817933122e-16
3,0.00029695687029382927,0.000296956870293829281484860320340692,0.00029695687029382927,0.00029695687029382997,0.0,0.00029695687029382997,1,5.365279786502937e-17,2.3195248673570913e-15,0.00029695687029382927,5.2145149243453844e-17
4,5.558025951532499e-06,0.000005558025951532498514951578981778613,5.558025951532494e-06,5.558025951532503e-06,0.0,5.558025951532503e-06,1,8.453171991903042e-16,8.310625984297939e-16,5.5580259515325e-06,2.2220990542112973e-16
5,1.0413847200965916e-07,0.0000001041384720096591542720059469363847,1.0413847200965941e-07,1.0413847200965928e-07,0.0,1.0413847200965928e-07,1,2.4774828647712805e-15,1.2065894528129347e-15,1.0413847200965921e-07,4.487101947177548e-16
6,1.95347685007666e-09,0.000000001953476850076660031044632573782269,1.9534768500766585e-09,1.9534768500766035e-09,0.0,1.9534768500766035e-09,1,7.643033795404943e-16,2.892307615057061e-14,1.9534768500766598e-09,8.137048945319208e-17
7,3.6689674394238155e-11,3.668967439423815312294937309188921e-11,3.668967439423818e-11,3.668967439423448e-11,0.0,3.668967439423448e-11,1,7.482031622438211e-16,1.0017735074410075e-13,3.668967439423817e-11,3.945810603645375e-16
8,6.899789437068231e-13,6.899789437068230381732989565880704e-13,6.899789437068234e-13,6.899789437088697e-13,0.0,6.899789437088697e-13,1,5.0099713679292975e-16,2.966306072974384e-12,6.899789437068234e-13,3.5483213404761597e-16
9,1.2992235455126936e-14,1.299223545512693690415840557645723e-14,1.2992235455126928e-14,1.2992235455566627e-14,0.0,1.2992235455566627e-14,1,6.536125079909701e-16,3.3842517434872974e-11,1.299223545512695e-14,1.0464589901700414e-15
10,2.4494273656808764e-16,2.449427365680876668571760416662659e-16,2.449427365680874e-16,2.4494273661820935e-16,0.0,2.4494273661820935e-16,1,1.10599033832467e-15,2.0462612503068848e-10,2.449427365680876e-16,3.0152833709823397e-16
11,4.6230132143936884e-18,4.623013214393688252849475282028573e-18,4.6230132143936915e-18,4.623013218829024e-18,0.0,4.623013218829024e-18,1,7.046966620543892e-16,9.594036926805341e-10,4.623013214393695e-18,1.3707835627610452e-15
12,8.73323753251947e-20,8.733237532519470575451465966930885e-20,8.733237532519469e-20,8.733237571515278e-20,0.0,8.733237571515278e-20,1,2.009380995130595e-16,4.465217798146101e-09,8.733237532519459e-20,1.30369194970039e-15
13,1.6507278853036228e-21,1.650727885303622715887856013806021e-21,1.650727885303626e-21,1.6507279170628796e-21,0.0,1.6507279170628796e-21,1,1.978906486348329e-15,1.923954707592882e-08,1.6507278853036249e-21,1.2928309765565397e-15
14,3.120464684208579e-23,3.12046468420857883527473876460434e-23,3.120464684208578e-23,3.1204647383452906e-23,0.0,3.1204647383452906e-23,1,1.8376756312883292e-16,1.7348926268629963e-08,3.1204646842085765e-23,7.483740324261621e-16
15,5.89524133703231e-25,5.895241337032310801066886679878182e-25,5.895241337032314e-25,5.895235882698772e-25,0.0,5.895235882698772e-25,1,5.550684894394701e-16,9.252095423046442e-07,5.89524133703231e-25,6.80323100872028e-17
16,1.1118474509490934e-26,1.111847450949093334787224022762887e-26,1.1118474509490925e-26,1.11183249335855e-26,0.0,1.11183249335855e-26,1,7.144796129010227e-16,1.3452916162658268e-05,1.1118474509490947e-26,1.353794330951031e-15
17,2.0889049744994046e-28,2.088904974499404510180793752466225e-28,2.088904974499404e-28,2.0886382647738936e-28,0.0,2.0886382647738936e-28,1,1.911425820975135e-16,0.00012767920454343702,2.0889049744994037e-28,1.9157443667267223e-16
18,3.884251241312452e-30,3.884251241312452155893401534245841e-30,3.8842512413124564e-30,3.8804574485846075e-30,0.0,3.8804574485846075e-30,1,1.0940754948659284e-15,0.0009767114669345562,3.8842512413124536e-30,3.7178506454639213e-16
19,6.981009190794785e-32,6.981009190794784479455828988858672e-32,6.981009190794783e-32,6.934413113365672e-32,0.0,6.934413113365672e-32,1,1.5300057847858416e-16,0.006674690743933413,6.981009190794789e-32,6.31791772574504e-16
20,1.1360275419940872e-33,1.13602754199408715331391317432041e-33,1.1360275419940863e-33,1.0820319211201947e-33,0.0,1.0820319211201947e-33,1,7.213697206145975e-16,0.04753020404691338,1.1360275419940877e-33,3.315818260572068e-16
21,1.5014399115234567e-35,1.501439911523456729194863760390185e-35,1.5014399115234594e-35,8.865965092020041e-36,0.0,8.865965092020041e-36,1,1.7915396836099328e-15,0.4095025032987123,1.5014399115234583e-35,1.079500500686063e-15
22,1.435216605218359e-37,1.435216605218359062864571686935953e-37,1.4352166052183564e-37,1.116914743362436e-38,0.0,1.116914743362436e-38,1,1.881253703027091e-15,0.9221779667750915,1.4352166052183574e-37,1.1516481663305889e-15
23,8.706965199079497e-40,8.706965199079496398144097999037284e-40,8.706965199079542e-40,-3.438651960003506e-41,0.0,3.438651960003506e-41,-1,5.284146376286223e-15,1.039493117077889,8.706965199079492e-40,3.3629904691804684e-16
24,2.5271419228293404e-42,2.527141922829340295877268013173868e-42,2.5271419228293328e-42,-1.1787856764823066e-36,0.0,1.1787856764823066e-36,-1,2.9785551019127303e-15,466451.12922842114,2.527141922829342e-42,6.782851079719839e-16
