retention_span_decades,spectral_dynamic_range_decades,max_relative_error_structured,max_relative_error_dense,resolved_modes_structured_relerr_lt_1e-8,resolved_modes_dense_relerr_lt_1e-8,negative_dense_eigenvalues
4.0,5.7828607822065985,2.517160544344429e-15,3.7843199673714475e-13,24,24,0
8.0,9.679326657745769,1.5229674828238596e-15,2.40354965804347e-12,24,24,0
12.0,13.621617877369518,2.8466300071720964e-15,1.9906396401350598e-11,24,24,0
16.0,17.58635671701941,1.4836027970437335e-15,1.4575442414103022e-10,24,24,0
20.0,21.56398413054444,1.9359024107729966e-15,2.6101555573221975e-08,24,23,0
24.0,25.549495984209813,2.1002189233560417e-15,2.49238601810929e-06,24,20,0
28.0,29.539998721279186,1.592016990150147e-15,0.00013961456135363302,24,19,0
32.0,33.533725571610994,3.088044615232119e-15,0.0038764613285451653,24,15,0
36.0,37.52956178188208,1.1835809763483051e-15,0.5500857170367495,24,13,0
40.0,41.52678929338248,5.284146376286223e-15,466451.12922842114,24,12,2
44.0,45.52493935670299,1.9340528621397594e-15,473969810.9422793,24,11,2
