cycle,mode_1_lambda,mode_1_amplitude,mode_2_lambda,mode_2_amplitude,mode_4_lambda,mode_4_amplitude,mode_8_lambda,mode_8_amplitude,mode_16_lambda,mode_16_amplitude,mode_24_lambda,mode_24_amplitude
0,0.8499999999999999,1.0,0.2646692015437764,1.0,0.02575826010523942,1.0,0.0002488444029312105,1.0,2.447289705524892e-08,1.0,2.0314261950787118e-14,1.0
1,0.8499999999999999,0.8499999999999999,0.2646692015437764,0.2646692015437764,0.02575826010523942,0.02575826010523942,0.0002488444029312105,0.0002488444029312105,2.447289705524892e-08,2.447289705524892e-08,2.0314261950787118e-14,2.0314261950787118e-14
2,0.8499999999999999,0.7224999999999998,0.2646692015437764,0.07004978624582012,0.02575826010523942,0.0006634879636491686,0.0002488444029312105,6.192353687019065e-08,2.447289705524892e-08,5.989226902768112e-16,2.0314261950787118e-14,4.126692386051972e-28
3,0.8499999999999999,0.6141249999999997,0.2646692015437764,0.01854002099399342,0.02575826010523942,1.7090295544370922e-05,0.0002488444029312105,1.540932555985139e-11,2.447289705524892e-08,1.4657373343197132e-23,2.0314261950787118e-14,8.383071012057848e-42
4,0.8499999999999999,0.5220062499999997,0.2646692015437764,0.00490697255308509,0.02575826010523942,4.4021627790732057e-07,0.0002488444029312105,3.83452441851386e-15,2.447289705524892e-08,3.587083889284131e-31,2.0314261950787118e-14,1.702959004909932e-55
5,0.8499999999999999,0.44370531249999967,0.2646692015437764,0.0012987245076222565,0.02575826010523942,1.1339205388897124e-08,0.0002488444029312105,9.541999394502287e-19,2.447289705524892e-08,8.778633475099246e-39,2.0314261950787118e-14,3.4594355317192127e-69
6,0.8499999999999999,0.37714951562499965,0.2646692015437764,0.00034373237845771674,0.02575826010523942,2.9207820179394463e-10,0.0002488444029312105,2.3744731420948934e-22,2.447289705524892e-08,2.148385933218659e-46,2.0314261950787118e-14,7.02758795932046e-83
7,0.8499999999999999,0.32057708828124964,0.2646692015437764,9.097537415114705e-05,0.02575826010523942,7.523426292879032e-12,0.0002488444029312105,5.908743513207991e-26,2.447289705524892e-08,5.257722777860513e-54,2.0314261950787118e-14,1.427602626878333e-96
8,0.8499999999999999,0.2724905250390622,0.2646692015437764,2.4078379636730403e-05,0.02575826010523942,1.9379037133457529e-13,0.0002488444029312105,1.4703577516179057e-29,2.447289705524892e-08,1.286717082876177e-61,2.0314261950787118e-14,2.900069372403826e-110
9,0.8499999999999999,0.23161694628320278,0.2646692015437764,6.37280551292136e-06,0.02575826010523942,4.991702790726923e-15,0.0002488444029312105,3.658902967966348e-33,2.447289705524892e-08,3.1489694708458867e-69,2.0314261950787118e-14,5.891276890646612e-124
