step,phase,direction,source_compartment,target_compartment,pulse_duration_s,dimensionless_pulse_parameter,effective_source_clamped_rate_per_s,chamber_volume_uL
1,upstream feedback sweep,upper,8,7,0.05,0.1584,3.168,5.0
2,upstream feedback sweep,upper,7,6,0.05,0.12600000000000003,2.5200000000000005,5.0
3,upstream feedback sweep,upper,8,7,0.05,0.15400000000000003,3.0800000000000005,5.0
4,upstream feedback sweep,upper,6,5,0.05,0.12239999999999998,2.4479999999999995,5.0
5,upstream feedback sweep,upper,7,6,0.05,0.13599999999999998,2.7199999999999993,5.0
6,upstream feedback sweep,upper,8,7,0.05,0.14959999999999998,2.9919999999999995,5.0
7,upstream feedback sweep,upper,5,4,0.05,0.1188,2.376,5.0
8,upstream feedback sweep,upper,6,5,0.05,0.1254,2.508,5.0
9,upstream feedback sweep,upper,7,6,0.05,0.1386,2.772,5.0
10,upstream feedback sweep,upper,8,7,0.05,0.14520000000000002,2.9040000000000004,5.0
11,upstream feedback sweep,upper,4,3,0.05,0.11520000000000001,2.3040000000000003,5.0
12,upstream feedback sweep,upper,5,4,0.05,0.1189490332008122,2.3789806640162436,5.0
13,upstream feedback sweep,upper,6,5,0.05,0.128,2.56,5.0
14,upstream feedback sweep,upper,7,6,0.05,0.13705096679918782,2.7410193359837565,5.0
15,upstream feedback sweep,upper,8,7,0.05,0.1408,2.816,5.0
16,upstream feedback sweep,upper,3,2,0.05,0.11159999999999999,2.2319999999999998,5.0
17,upstream feedback sweep,upper,4,3,0.05,0.11396818926975065,2.279363785395013,5.0
18,upstream feedback sweep,upper,5,4,0.05,0.12016818926975063,2.4033637853950127,5.0
19,upstream feedback sweep,upper,6,5,0.05,0.12783181073024932,2.5566362146049864,5.0
20,upstream feedback sweep,upper,7,6,0.05,0.13403181073024933,2.6806362146049865,5.0
21,upstream feedback sweep,upper,8,7,0.05,0.1364,2.7279999999999998,5.0
22,upstream feedback sweep,upper,2,1,0.05,0.108,2.1599999999999997,5.0
23,upstream feedback sweep,upper,3,2,0.05,0.10960769515458674,2.1921539030917345,5.0
24,upstream feedback sweep,upper,4,3,0.05,0.114,2.28,5.0
25,upstream feedback sweep,upper,5,4,0.05,0.12,2.4,5.0
26,upstream feedback sweep,upper,6,5,0.05,0.126,2.52,5.0
27,upstream feedback sweep,upper,7,6,0.05,0.13039230484541325,2.607846096908265,5.0
28,upstream feedback sweep,upper,8,7,0.05,0.132,2.64,5.0
30,downstream pulse sweep,lower,7,8,0.05,0.10800000000000001,2.16,5.0
31,downstream pulse sweep,lower,6,7,0.05,0.11610000000000001,2.322,5.0
32,downstream pulse sweep,lower,5,6,0.05,0.12202961154130791,2.4405922308261583,5.0
33,downstream pulse sweep,lower,4,5,0.05,0.1242,2.484,5.0
34,downstream pulse sweep,lower,3,4,0.05,0.12202961154130791,2.4405922308261583,5.0
35,downstream pulse sweep,lower,2,3,0.05,0.11610000000000001,2.322,5.0
36,downstream pulse sweep,lower,1,2,0.05,0.10800000000000001,2.16,5.0
37,downstream pulse sweep,lower,7,8,0.05,0.10333333333333335,2.066666666666667,5.0
38,downstream pulse sweep,lower,6,7,0.05,0.11244400474386668,2.2488800948773333,5.0
39,downstream pulse sweep,lower,5,6,0.05,0.11807470933590822,2.361494186718164,5.0
40,downstream pulse sweep,lower,4,5,0.05,0.11807470933590822,2.361494186718164,5.0
41,downstream pulse sweep,lower,3,4,0.05,0.11244400474386668,2.2488800948773333,5.0
42,downstream pulse sweep,lower,2,3,0.05,0.10333333333333335,2.066666666666667,5.0
43,downstream pulse sweep,lower,7,8,0.05,0.09866666666666668,1.9733333333333336,5.0
44,downstream pulse sweep,lower,6,7,0.05,0.10913184702822759,2.1826369405645516,5.0
45,downstream pulse sweep,lower,5,6,0.05,0.11346666666666667,2.2693333333333334,5.0
46,downstream pulse sweep,lower,4,5,0.05,0.10913184702822759,2.1826369405645516,5.0
47,downstream pulse sweep,lower,3,4,0.05,0.09866666666666668,1.9733333333333336,5.0
48,downstream pulse sweep,lower,7,8,0.05,0.094,1.88,5.0
49,downstream pulse sweep,lower,6,7,0.05,0.10621095819336059,2.1242191638672114,5.0
50,downstream pulse sweep,lower,5,6,0.05,0.10621095819336059,2.1242191638672114,5.0
51,downstream pulse sweep,lower,4,5,0.05,0.094,1.88,5.0
52,downstream pulse sweep,lower,7,8,0.05,0.08933333333333333,1.7866666666666666,5.0
53,downstream pulse sweep,lower,6,7,0.05,0.10273333333333333,2.0546666666666664,5.0
54,downstream pulse sweep,lower,5,6,0.05,0.08933333333333333,1.7866666666666666,5.0
55,downstream pulse sweep,lower,7,8,0.05,0.08466666666666667,1.6933333333333334,5.0
56,downstream pulse sweep,lower,6,7,0.05,0.08466666666666667,1.6933333333333334,5.0
57,downstream pulse sweep,lower,7,8,0.05,0.08,1.5999999999999999,5.0
