mode,independent_reference,independent_reference_decimal
1,0.8499999999999998,0.8499999999999998084434615424130723
2,0.015881023102175266,0.01588102310217526653031005614719198
3,0.00029695687029382927,0.000296956870293829281484860320340692
4,5.558025951532499e-06,0.000005558025951532498514951578981778613
5,1.0413847200965916e-07,0.0000001041384720096591542720059469363847
6,1.95347685007666e-09,0.000000001953476850076660031044632573782269
7,3.6689674394238155e-11,3.668967439423815312294937309188921e-11
8,6.899789437068231e-13,6.899789437068230381732989565880704e-13
9,1.2992235455126936e-14,1.299223545512693690415840557645723e-14
10,2.4494273656808764e-16,2.449427365680876668571760416662659e-16
11,4.6230132143936884e-18,4.623013214393688252849475282028573e-18
12,8.73323753251947e-20,8.733237532519470575451465966930885e-20
13,1.6507278853036228e-21,1.650727885303622715887856013806021e-21
14,3.120464684208579e-23,3.12046468420857883527473876460434e-23
15,5.89524133703231e-25,5.895241337032310801066886679878182e-25
16,1.1118474509490934e-26,1.111847450949093334787224022762887e-26
17,2.0889049744994046e-28,2.088904974499404510180793752466225e-28
18,3.884251241312452e-30,3.884251241312452155893401534245841e-30
19,6.981009190794785e-32,6.981009190794784479455828988858672e-32
20,1.1360275419940872e-33,1.13602754199408715331391317432041e-33
21,1.5014399115234567e-35,1.501439911523456729194863760390185e-35
22,1.435216605218359e-37,1.435216605218359062864571686935953e-37
23,8.706965199079497e-40,8.706965199079496398144097999037284e-40
24,2.5271419228293404e-42,2.527141922829340295877268013173868e-42
