# platform,Linux-6.18.35-x86_64-with-glibc2.41
# python,3.13.5
# numpy,2.3.5
# cpu_model,AMD EPYC 9V74 80-Core Processor
# repeats,15
# lapack_library,liblapack.so.3
n,median_seconds,min_seconds,max_seconds
8,2.9605000008814386e-04,2.9197399999247864e-04,3.4094700004061451e-04
12,9.7505900021133129e-04,9.5825399966997793e-04,1.5591170003972366e-03
16,2.2552820000782958e-03,2.2232740002436913e-03,2.6586910003061348e-03
20,4.3326879999767698e-03,4.1793110003709444e-03,5.7270109996352403e-03
24,7.4011080000673246e-03,7.2008209999694373e-03,8.4855400000378722e-03
32,1.7428290000225388e-02,1.6686576999745739e-02,2.4181174999739596e-02
40,3.2623992000026192e-02,3.1762692000029347e-02,3.7348363000091922e-02
48,5.6418882999878406e-02,5.5097990000376740e-02,6.3562328999978490e-02
# loglog_slope_all,2.92812365
# loglog_slope_n_ge_16,2.92752394
