# platform,Linux-6.18.35-x86_64-with-glibc2.41
# python,3.13.5
# numpy,2.3.5
# lapack_library,liblapack.so.3
n,median_seconds,min_seconds,max_seconds
8,2.8995100001338869e-04,2.8594500008694013e-04,3.2928900009210338e-04
12,9.4820899994374486e-04,9.3235600024854648e-04,1.3800799997625290e-03
16,2.3290210001505329e-03,2.2298339999906602e-03,2.6937430002362817e-03
20,4.4268990000091435e-03,4.2352639998171071e-03,4.8533429999224609e-03
24,7.5510910000957665e-03,7.2700040000199806e-03,8.1362509999962640e-03
32,1.7228462999810290e-02,1.6924902000027942e-02,1.9519888000104402e-02
40,3.2469963000039570e-02,3.1690093999714009e-02,3.4748077999665838e-02
48,5.5924908999713807e-02,5.5098900999837497e-02,5.9017655000388913e-02
# loglog_slope_all,2.93326438
# loglog_slope_n_ge_16,2.88672602
