mode,independent_reference,independent_reference_decimal,koev_tntool,absolute_error,relative_error,elapsed_seconds
1,0.8499999999999998,0.8499999999999998084434615424130723,8.49999999999999867e-01,5.85565384575869277e-17,6.889004524421993046628071e-17,2.98426866531372070e-01
2,0.0158810231021752,0.01588102310217526653031005614719198,1.58810231021752693e-02,2.76968994385280802e-18,1.744024881793312248667849e-16,2.98426866531372070e-01
3,0.0002969568702938,0.000296956870293829281484860320340692,2.96956870293829266e-04,1.5484860320340692e-20,5.214514924345383982823886e-17,2.98426866531372070e-01
4,5.558025951532499e-06,0.000005558025951532498514951578981778613,5.55802595153249975e-06,1.235048421018221387e-21,2.222099054211297874445131e-16,2.98426866531372070e-01
5,1.0413847200965917e-07,0.0000001041384720096591542720059469363847,1.04138472009659201e-07,4.67279940530636153e-23,4.4871019471775478236131e-16,2.98426866531372070e-01
6,1.95347685007666e-09,0.000000001953476850076660031044632573782269,1.95347685007666019e-09,1.58955367426217731e-25,8.137048945319206969481177e-17,2.98426866531372070e-01
7,3.668967439423816e-11,3.668967439423815312294937309188921e-11,3.66896743942381676e-11,1.447705062690811079e-26,3.945810603645375070541573e-16,2.98426866531372070e-01
8,6.899789437068231e-13,6.899789437068230381732989565880704e-13,6.89978943706823283e-13,2.448267010434119296e-28,3.548321340476160046683465e-16,2.98426866531372070e-01
9,1.2992235455126936e-14,1.299223545512693690415840557645723e-14,1.29922354551269505e-14,1.359584159442354277e-29,1.046458990170041411511587e-15,2.98426866531372070e-01
10,2.4494273656808764e-16,2.449427365680876668571760416662659e-16,2.44942736568087593e-16,7.38571760416662659e-32,3.015283370982339986050461e-16,2.98426866531372070e-01
11,4.6230132143936884e-18,4.623013214393688252849475282028573e-18,4.62301321439369459e-18,6.337150524717971427e-33,1.370783562761045147456467e-15,2.98426866531372070e-01
12,8.73323753251947e-20,8.733237532519470575451465966930885e-20,8.73323753251945919e-20,1.1385451465966930885e-34,1.303691949700389905492118e-15,2.98426866531372070e-01
13,1.6507278853036228e-21,1.650727885303622715887856013806021e-21,1.65072788530362485e-21,2.134112143986193979e-36,1.292830976556539557526136e-15,2.98426866531372070e-01
14,3.120464684208579e-23,3.12046468420857883527473876460434e-23,3.12046468420857650e-23,2.33527473876460434e-38,7.483740324261619991359888e-16,2.98426866531372070e-01
15,5.89524133703231e-25,5.895241337032310801066886679878182e-25,5.89524133703231040e-25,4.01066886679878182e-41,6.803231008720279699766457e-17,2.98426866531372070e-01
16,1.1118474509490934e-26,1.111847450949093334787224022762887e-26,1.11184745094909484e-26,1.505212775977237113e-41,1.353794330951031040114044e-15,2.98426866531372070e-01
17,2.0889049744994046e-28,2.088904974499404510180793752466225e-28,2.08890497449940411e-28,4.00180793752466225e-44,1.915744366726722568904767e-16,2.98426866531372070e-01
18,3.884251241312452e-30,3.884251241312452155893401534245841e-30,3.88425124131245360e-30,1.444106598465754159e-45,3.717850645463922280957089e-16,2.98426866531372070e-01
19,6.981009190794785e-32,6.981009190794784479455828988858672e-32,6.98100919079478889e-32,4.410544171011141328e-47,6.317917725745040929977485e-16,2.98426866531372070e-01
20,1.1360275419940872e-33,1.13602754199408715331391317432041e-33,1.13602754199408753e-33,3.7668608682567959e-49,3.31581826057206791295707e-16,2.98426866531372070e-01
21,1.5014399115234567e-35,1.501439911523456729194863760390185e-35,1.50143991152345835e-35,1.620805136239609815e-50,1.079500500686063095965387e-15,2.98426866531372070e-01
22,1.435216605218359e-37,1.435216605218359062864571686935953e-37,1.43521660521835741e-37,1.652864571686935953e-52,1.151648166330588920862123e-15,2.98426866531372070e-01
23,8.706965199079497e-40,8.706965199079496398144097999037284e-40,8.70696519907949347e-40,2.928144097999037284e-55,3.362990469180469181143355e-16,2.98426866531372070e-01
24,2.5271419228293404e-42,2.527141922829340295877268013173868e-42,2.52714192282934201e-42,1.714122731986826132e-57,6.782851079719839176746363e-16,2.98426866531372070e-01
